1,0,1,0,1
0,1,0,1,1
1,0,1,1,0
0,1,1,0,0
1,1,0,0,0
1,0,0,0,7
0,0,0,7,1
0,0,7,1,3
0,7,1,3,0
7,1,3,0,1
1,3,0,1,3
3,0,1,3,4
0,1,3,4,1
1,3,4,1,0
3,4,1,0,1
4,1,0,1,2
1,0,1,2,1
0,1,2,1,0
1,2,1,0,0
2,1,0,0,0
1,0,0,0,0
0,0,0,0,1
0,0,0,1,1
0,0,1,1,1
0,1,1,1,0
1,1,1,0,73
1,1,0,73,100
1,0,73,100,229
0,73,100,229,169
73,100,229,169,231
100,229,169,231,144
229,169,231,144,284
169,231,144,284,505
231,144,284,505,571
144,284,505,571,813
284,505,571,813,586
505,571,813,586,599
571,813,586,599,851
813,586,599,851,435
586,599,851,435,467
599,851,435,467,505
851,435,467,505,448
435,467,505,448,273
467,505,448,273,164
505,448,273,164,35
448,273,164,35,242
273,164,35,242,114
164,35,242,114,110
35,242,114,110,107
242,114,110,107,76
114,110,107,76,74
110,107,76,74,84
107,76,74,84,93
76,74,84,93,152
74,84,93,152,87
84,93,152,87,147
93,152,87,147,162
152,87,147,162,0
87,147,162,0,76
147,162,0,76,100
162,0,76,100,104
0,76,100,104,91
76,100,104,91,146
100,104,91,146,105
104,91,146,105,78
91,146,105,78,125
146,105,78,125,101
105,78,125,101,89
78,125,101,89,86
125,101,89,86,94
101,89,86,94,81
89,86,94,81,47
86,94,81,47,47
94,81,47,47,53
81,47,47,53,39
47,47,53,39,27
47,53,39,27,30
53,39,27,30,32
39,27,30,32,25
27,30,32,25,27
30,32,25,27,27
32,25,27,27,22
25,27,27,22,22
27,27,22,22,18
27,22,22,18,8
22,22,18,8,13
22,18,8,13,9
18,8,13,9,11
8,13,9,11,14
13,9,11,14,10
9,11,14,10,10
11,14,10,10,10
14,10,10,10,14
10,10,10,14,9
10,10,14,9,4
10,14,9,4,9
14,9,4,9,6
9,4,9,6,13
4,9,6,13,8
9,6,13,8,3
6,13,8,3,2
13,8,3,2,4
8,3,2,4,12
3,2,4,12,18
2,4,12,18,34
4,12,18,34,35
12,18,34,35,27
18,34,35,27,26
34,35,27,26,29
35,27,26,29,27
27,26,29,27,19
26,29,27,19,13
29,27,19,13,15
27,19,13,15,13
19,13,15,13,32
13,15,13,32,12
15,13,32,12,20
13,32,12,20,23
32,12,20,23,25
12,20,23,25,16
20,23,25,16,19
23,25,16,19,40
25,16,19,40,79
16,19,40,79,58
19,40,79,58,39
40,79,58,39,27
79,58,39,27,35
58,39,27,35,38
39,27,35,38,49
27,35,38,49,39
35,38,49,39,39
38,49,39,39,51
49,39,39,51,57
39,39,51,57,38
39,51,57,38,38
51,57,38,38,50
57,38,38,50,45
38,38,50,45,56
38,50,45,56,48
50,45,56,48,34
45,56,48,34,36
56,48,34,36,34
48,34,36,34,43
34,36,34,43,59
36,34,43,59,49
34,43,59,49,67
43,59,49,67,48
59,49,67,48,17
49,67,48,17,46
67,48,17,46,51
48,17,46,51,28
17,46,51,28,39
46,51,28,39,51
51,28,39,51,62
28,39,51,62,42
39,51,62,42,43
51,62,42,43,50
62,42,43,50,54
42,43,50,54,63
43,50,54,63,63
50,54,63,63,61
54,63,63,61,46
63,63,61,46,44
63,61,46,44,63
61,46,44,63,49
46,44,63,49,45
44,63,49,45,35
63,49,45,35,44
49,45,35,44,62
45,35,44,62,33
35,44,62,33,39
44,62,33,39,61
62,33,39,61,60
33,39,61,60,39
39,61,60,39,34
61,60,39,34,26
60,39,34,26,45
39,34,26,45,63
34,26,45,63,59
26,45,63,59,41
45,63,59,41,113
63,59,41,113,58
59,41,113,58,25
41,113,58,25,28
113,58,25,28,48
58,25,28,48,18
25,28,48,18,36
28,48,18,36,31
48,18,36,31,30
18,36,31,30,23
36,31,30,23,34
31,30,23,34,33
30,23,34,33,43
23,34,33,43,20
34,33,43,20,43
33,43,20,43,36
43,20,43,36,28
20,43,36,28,34
43,36,28,34,54
36,28,34,54,56
28,34,54,56,103
34,54,56,103,166
54,56,103,166,279
56,103,166,279,197
103,166,279,197,246
166,279,197,246,297
279,197,246,297,288
197,246,297,288,324
246,297,288,324,332
297,288,324,332,397
288,324,332,397,266
324,332,397,266,280
332,397,266,280,320
397,266,280,320,441
266,280,320,441,371
280,320,441,371,323
320,441,371,323,299
441,371,323,299,248
371,323,299,248,235
323,299,248,235,267
299,248,235,267,195
248,235,267,195,198
235,267,195,198,168
267,195,198,168,167
195,198,168,167,119
198,168,167,119,136
168,167,119,136,156
167,119,136,156,155
119,136,156,155,176
136,156,155,176,136
156,155,176,136,121
155,176,136,121,109
176,136,121,109,106
136,121,109,106,113
121,109,106,113,153
109,106,113,153,126
106,113,153,126,110
113,153,126,110,82
153,126,110,82,70
126,110,82,70,61
110,82,70,61,110
82,70,61,110,125
70,61,110,125,114
61,110,125,114,61
110,125,114,61,95
125,114,61,95,50
114,61,95,50,38
61,95,50,38,113
95,50,38,113,77
50,38,113,77,63
38,113,77,63,75
113,77,63,75,64
77,63,75,64,73
63,75,64,73,75
75,64,73,75,114
64,73,75,114,69
73,75,114,69,54
75,114,69,54,72
114,69,54,72,58
69,54,72,58,97
54,72,58,97,102
72,58,97,102,84
58,97,102,84,99
97,102,84,99,47
102,84,99,47,73
84,99,47,73,91
99,47,73,91,76
47,73,91,76,58
73,91,76,58,91
91,76,58,91,119
76,58,91,119,155
58,91,119,155,77
91,119,155,77,61
119,155,77,61,119
155,77,61,119,88
77,61,119,88,103
61,119,88,103,125
119,88,103,125,114
88,103,125,114,126
103,125,114,126,124
125,114,126,124,97
114,126,124,97,75
126,124,97,75,118
124,97,75,118,125
97,75,118,125,145
75,118,125,145,89
118,125,145,89,143
125,145,89,143,126
145,89,143,126,100
89,143,126,100,146
143,126,100,146,143
126,100,146,143,191
100,146,143,191,205
146,143,191,205,208
143,191,205,208,223
191,205,208,223,229
205,208,223,229,313
208,223,229,313,343
223,229,313,343,363
229,313,343,363,386
313,343,363,386,330
343,363,386,330,271
363,386,330,271,349
386,330,271,349,382
330,271,349,382,583
271,349,382,583,569
349,382,583,569,488
382,583,569,488,449
583,569,488,449,377
569,488,449,377,451
488,449,377,451,511
449,377,451,511,540
377,451,511,540,629
451,511,540,629,583
511,540,629,583,631
540,629,583,631,615
629,583,631,615,594
583,631,615,594,677
631,615,594,677,666
615,594,677,666,688
594,677,666,688,950
677,666,688,950,1030
666,688,950,1030,718
688,950,1030,718,880
950,1030,718,880,1078
1030,718,880,1078,1011
718,880,1078,1011,1062
